Byte Value,Count (C0.0),Count (C1.0),Count (NC0.0),Count (NC0.1),Count (NC1.0),Count (NC1.1),Count (TRNG)
0,0,0,0,0,0,0,3962
1,0,0,0,0,0,0,3866
2,0,0,0,0,0,0,3875
3,0,0,0,0,0,0,3930
4,0,0,0,0,0,0,3894
5,0,0,0,0,0,0,3934
6,0,0,0,0,0,0,3874
7,0,0,0,0,0,0,3914
8,0,0,0,0,0,0,3871
9,0,0,0,0,0,0,3881
10,0,2,0,0,0,0,3928
11,0,0,0,0,0,0,3820
12,0,0,0,0,0,0,3809
13,0,0,0,0,0,0,3992
14,0,0,0,0,0,0,3955
15,0,0,0,0,0,0,3933
16,0,0,0,0,0,0,3895
17,0,0,0,0,0,0,3934
18,0,0,0,0,0,0,4055
19,0,0,0,0,0,0,3892
20,0,0,0,0,0,0,4019
21,0,0,0,0,0,0,3897
22,0,0,0,0,0,0,3817
23,0,0,0,0,0,0,3905
24,0,0,0,0,0,0,3853
25,0,0,0,0,0,0,3843
26,0,0,0,0,0,0,3907
27,0,0,0,0,0,0,3841
28,0,0,0,0,0,0,3841
29,0,0,0,0,0,0,3938
30,0,0,0,0,0,0,3859
31,0,0,0,0,0,0,3928
32,0,5,0,0,0,0,3858
33,0,1,0,0,0,0,3987
34,0,0,0,0,0,0,4021
35,0,0,0,0,0,0,3823
36,0,0,0,0,0,0,3795
37,0,0,0,0,0,0,3948
38,0,0,0,0,0,0,3952
39,0,0,0,0,0,0,3931
40,0,2,0,0,0,0,3822
41,0,2,0,0,0,0,3947
42,0,0,0,0,0,0,3932
43,0,0,0,0,0,0,3882
44,0,0,0,0,0,0,3890
45,0,4,0,0,0,0,3929
46,0,1,0,0,0,0,3982
47,0,0,0,0,0,0,3808
48,50533,61813,1407,106878,40223,796,3861
49,71285,71774,454,25977,46250,1523,3833
50,58891,50417,394,24848,43553,1345,3805
51,81655,80656,570,20576,57457,4470,3889
52,57971,50817,394,25123,42877,1266,3995
53,60211,57153,486,18842,53729,4321,3843
54,64938,58878,478,19640,52333,4083,3978
55,61017,68384,3331,47257,80127,29947,3880
56,76956,72476,478,27886,43738,1306,3898
57,66189,61384,501,19055,54246,4201,3946
58,0,2,0,0,0,0,3846
59,0,0,0,0,0,0,3935
60,0,0,0,0,0,0,3809
61,0,0,0,0,0,0,3904
62,0,0,0,0,0,0,3894
63,0,0,0,0,0,0,3921
64,0,0,0,0,0,0,3848
65,0,1,0,0,0,0,3901
66,0,0,0,0,0,0,3896
67,0,0,0,0,0,0,3995
68,0,1,0,0,0,0,3960
69,0,1,0,0,0,0,3767
70,0,0,0,0,0,0,3874
71,0,0,0,0,0,0,3902
72,0,1,0,0,0,0,3958
73,0,1,0,0,0,0,3896
74,0,0,0,0,0,0,3891
75,0,0,0,0,0,0,4031
76,0,0,0,0,0,0,3920
77,0,0,0,0,0,0,3870
78,0,0,0,0,0,0,4001
79,0,1,0,0,0,0,3874
80,0,0,0,0,0,0,3882
81,0,0,0,0,0,0,3972
82,0,1,0,0,0,0,3878
83,0,0,0,0,0,0,3964
84,0,2,0,0,0,0,3830
85,0,0,0,0,0,0,3822
86,0,1,0,0,0,0,3985
87,0,0,0,0,0,0,3889
88,0,0,0,0,0,0,3871
89,0,0,0,0,0,0,3932
90,0,0,0,0,0,0,3810
91,0,0,0,0,0,0,3944
92,0,0,0,0,0,0,4046
93,0,0,0,0,0,0,3859
94,0,0,0,0,0,0,3874
95,0,0,0,0,0,0,3855
96,0,0,0,0,0,0,3890
97,62972,57537,466,19735,51998,3961,3796
98,47325,50210,3118,45774,77931,29533,4004
99,88944,82929,655,21762,53066,4013,3797
100,46246,49825,3268,46457,75758,28677,3906
101,65930,70169,3446,50166,75880,27723,3783
102,38937,55533,980551,480024,150834,852835,3934
103,0,1,0,0,0,0,3875
104,0,1,0,0,0,0,3939
105,0,4,0,0,0,0,4012
106,0,0,0,0,0,0,3944
107,0,0,0,0,0,0,3910
108,0,1,0,0,0,0,3928
109,0,1,0,0,0,0,3882
110,0,2,0,0,0,0,3887
111,0,1,0,0,0,0,3971
112,0,0,0,0,0,0,4046
113,0,0,0,0,0,0,3931
114,0,1,0,0,0,0,3778
115,0,3,0,0,0,0,3956
116,0,0,0,0,0,0,3909
117,0,0,0,0,0,0,3862
118,0,1,0,0,0,0,3803
119,0,0,0,0,0,0,3992
120,0,0,0,0,0,0,3928
121,0,0,0,0,0,0,3940
122,0,0,0,0,0,0,3820
123,0,0,0,0,0,0,3948
124,0,0,0,0,0,0,3881
125,0,0,0,0,0,0,3949
126,0,0,0,0,0,0,3896
127,0,0,0,0,0,0,3915
128,0,0,0,0,0,0,3974
129,0,0,0,0,0,0,3853
130,0,0,0,0,0,0,3968
131,0,0,0,0,0,0,4005
132,0,0,0,0,0,0,3816
133,0,0,0,0,0,0,3819
134,0,0,0,0,0,0,3888
135,0,0,0,0,0,0,3881
136,0,0,0,0,0,0,3836
137,0,0,0,0,0,0,3849
138,0,0,0,0,0,0,3949
139,0,0,0,0,0,0,3913
140,0,0,0,0,0,0,3843
141,0,0,0,0,0,0,3908
142,0,0,0,0,0,0,3937
143,0,0,0,0,0,0,3903
144,0,0,0,0,0,0,3831
145,0,0,0,0,0,0,3870
146,0,0,0,0,0,0,3871
147,0,0,0,0,0,0,3950
148,0,0,0,0,0,0,3800
149,0,0,0,0,0,0,4002
150,0,0,0,0,0,0,3922
151,0,0,0,0,0,0,4012
152,0,0,0,0,0,0,3906
153,0,0,0,0,0,0,3889
154,0,0,0,0,0,0,3932
155,0,0,0,0,0,0,3860
156,0,0,0,0,0,0,3890
157,0,0,0,0,0,0,3913
158,0,0,0,0,0,0,3870
159,0,0,0,0,0,0,3945
160,0,0,0,0,0,0,4053
161,0,0,0,0,0,0,3887
162,0,0,0,0,0,0,3883
163,0,0,0,0,0,0,3896
164,0,0,0,0,0,0,3948
165,0,0,0,0,0,0,3927
166,0,0,0,0,0,0,3877
167,0,0,0,0,0,0,4021
168,0,0,0,0,0,0,3859
169,0,0,0,0,0,0,3778
170,0,0,0,0,0,0,3891
171,0,0,0,0,0,0,4124
172,0,0,0,0,0,0,3890
173,0,0,0,0,0,0,3762
174,0,0,0,0,0,0,3855
175,0,0,0,0,0,0,3928
176,0,0,0,0,0,0,3929
177,0,0,0,0,0,0,3830
178,0,0,0,0,0,0,3868
179,0,0,0,0,0,0,3888
180,0,0,0,0,0,0,3880
181,0,0,0,0,0,0,3981
182,0,0,0,0,0,0,3888
183,0,0,0,0,0,0,3963
184,0,0,0,0,0,0,3993
185,0,0,0,0,0,0,4017
186,0,0,0,0,0,0,3904
187,0,0,0,0,0,0,3785
188,0,0,0,0,0,0,3889
189,0,0,1,0,0,0,4043
190,0,0,0,0,0,0,3890
191,0,0,1,0,0,0,3916
192,0,0,0,0,0,0,3902
193,0,0,0,0,0,0,3801
194,0,0,0,0,0,0,3972
195,0,0,0,0,0,0,3984
196,0,0,0,0,0,0,3932
197,0,0,0,0,0,0,3987
198,0,0,0,0,0,0,3909
199,0,0,0,0,0,0,3908
200,0,0,0,0,0,0,3867
201,0,0,0,0,0,0,3907
202,0,0,0,0,0,0,3977
203,0,0,0,0,0,0,3897
204,0,0,0,0,0,0,3820
205,0,0,0,0,0,0,3981
206,0,0,0,0,0,0,4011
207,0,0,0,0,0,0,3751
208,0,0,0,0,0,0,3957
209,0,0,0,0,0,0,3916
210,0,0,0,0,0,0,3844
211,0,0,0,0,0,0,4063
212,0,0,0,0,0,0,3913
213,0,0,0,0,0,0,3898
214,0,0,0,0,0,0,3943
215,0,0,0,0,0,0,3948
216,0,0,0,0,0,0,3794
217,0,0,0,0,0,0,3924
218,0,0,0,0,0,0,3799
219,0,0,0,0,0,0,3905
220,0,0,0,0,0,0,3933
221,0,0,0,0,0,0,3902
222,0,0,0,0,0,0,3913
223,0,0,0,0,0,0,3787
224,0,0,0,0,0,0,3995
225,0,0,0,0,0,0,3799
226,0,0,0,0,0,0,3921
227,0,0,0,0,0,0,3952
228,0,0,0,0,0,0,3885
229,0,0,0,0,0,0,3996
230,0,0,0,0,0,0,3841
231,0,0,0,0,0,0,4013
232,0,0,0,0,0,0,4034
233,0,0,0,0,0,0,3936
234,0,0,0,0,0,0,3944
235,0,0,0,0,0,0,3877
236,0,0,0,0,0,0,3909
237,0,0,0,0,0,0,3829
238,0,0,0,0,0,0,3887
239,0,0,1,0,0,0,3952
240,0,0,0,0,0,0,3932
241,0,0,0,0,0,0,3884
242,0,0,0,0,0,0,3955
243,0,0,0,0,0,0,3830
244,0,0,0,0,0,0,3828
245,0,0,0,0,0,0,3893
246,0,0,0,0,0,0,3946
247,0,0,0,0,0,0,3907
248,0,0,0,0,0,0,3831
249,0,0,0,0,0,0,3932
250,0,0,0,0,0,0,4018
251,0,0,0,0,0,0,3833
252,0,0,0,0,0,0,3830
253,0,0,0,0,0,0,3924
254,0,0,0,0,0,0,4005
255,0,0,0,0,0,0,3974
